method,median_end_to_end_ns,median_end_to_end_ms
C1,260441357.5,260.4413575
B0,50307284.5,50.3072845
C1,52665176.5,52.6651765
C0,206331006.5,206.3310065
C0,55938918.0,55.938918
B0,204210809.5,204.2108095
B1,51663757.5,51.6637575
B0,172081240.0,172.08124
B0,55190550.0,55.19055
C0,345601916.5,345.6019165
B1,55045363.0,55.045363
C0,305274514.0,305.274514
C1,196758381.0,196.758381
C1,233162876.0,233.162876
B1,267088023.0,267.088023
C0,252371894.0,252.371894
B0,385944737.5,385.9447375
B1,193306664.5,193.3066645
C1,176256499.0,176.256499
B1,59356662.5,59.3566625
C0,217160914.0,217.160914
C1,242731376.5,242.7313765
B1,54383328.5,54.3833285
B1,168224610.0,168.22461
C1,331865239.0,331.865239
B0,385717435.0,385.717435
B1,59139711.5,59.1397115
C1,51968543.5,51.9685435
C1,68295077.5,68.2950775
C1,322786017.5,322.7860175
B1,55053718.0,55.053718
C1,344318147.5,344.3181475
C0,183109257.0,183.109257
C0,54012567.0,54.012567
C1,353119285.5,353.1192855
B0,401068933.5,401.0689335
B0,65897618.0,65.897618
B1,53634239.0,53.634239
C0,51462987.0,51.462987
B0,368678527.0,368.678527
B0,236367233.0,236.367233
C0,52938177.5,52.9381775
C1,338515218.0,338.515218
B0,183433382.5,183.4333825
B1,381803743.0,381.803743
B1,380777810.0,380.77781
B1,359851957.5,359.8519575
B0,238917819.5,238.9178195
C0,366939708.0,366.939708
B1,205609587.0,205.609587
C0,220200943.0,220.200943
B1,70671403.5,70.6714035
B0,50338280.5,50.3382805
B1,313474641.5,313.4746415
C0,203121166.0,203.121166
B1,409804284.0,409.804284
B0,52020877.0,52.020877
B1,67780985.0,67.780985
C1,57980694.5,57.9806945
C0,401366437.5,401.3664375
B1,326183794.0,326.183794
C0,54967005.0,54.967005
B1,366650957.0,366.650957
C0,53571839.5,53.5718395
C0,194640539.5,194.6405395
B0,52685520.5,52.6855205
C1,215859815.5,215.8598155
C1,198946209.5,198.9462095
B1,65800399.0,65.800399
B0,331491504.5,331.4915045
C0,51968884.0,51.968884
B0,397834368.5,397.8343685
B0,195487118.5,195.4871185
C1,283242803.5,283.2428035
C0,337284499.5,337.2844995
B1,234623434.5,234.6234345
B1,53301570.5,53.3015705
B0,203621949.0,203.621949
